epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.50704,1.42426,4.63602,1.17736,0.00213,0.01823,0.00283,0.00078,1.23295,4.16052,0.93089,0.00012221,0.00012221,0.00012221
2,9.48574,1.1792,3.39074,0.97978,0.01416,0.598,0.03513,0.01047,1.09701,4.04316,0.88302,0.000255283,0.000255283,0.000255283
3,13.5552,1.21187,2.31209,0.96595,0.00992,0.57111,0.08003,0.02236,1.08193,3.97963,0.89073,0.000388098,0.000388098,0.000388098
4,17.4129,1.16475,1.46918,0.9865,0.00901,0.56278,0.13263,0.03229,0.99195,3.94917,0.90679,0.000520656,0.000520656,0.000520656
5,21.3077,1.09002,1.1555,0.9645,0.00417,0.39139,0.06434,0.01581,0.99349,3.68413,0.94763,0.000652955,0.000652955,0.000652955
6,25.1949,1.0475,1.01937,0.97482,0.01026,0.70012,0.18471,0.10192,1.0122,3.43868,0.96972,0.000784997,0.000784997,0.000784997
7,29.0624,1.04575,1.0415,0.97123,0.02391,0.96034,0.64016,0.40498,1.19614,2.89748,1.04023,0.000916781,0.000916781,0.000916781
8,33.0215,1.06383,1.08646,1.00234,0.99585,0.43388,0.83936,0.58828,0.97798,2.33698,0.96861,0.00104831,0.00104831,0.00104831
9,36.8324,1.01409,0.97171,0.96476,0.93439,0.53779,0.95844,0.65253,0.99751,2.11358,0.99278,0.00110241,0.00110241,0.00110241
10,40.7361,1.00545,1.0862,0.94799,0.9455,0.88556,0.9709,0.65738,0.99851,1.58253,0.98493,0.00110133,0.00110133,0.00110133
11,44.5464,0.99697,0.91369,0.94968,0.86534,0.90376,0.95759,0.63901,1.03437,1.47328,0.99468,0.00110026,0.00110026,0.00110026
12,48.296,0.99763,0.88909,0.94253,0.91655,0.91574,0.93326,0.63966,0.98951,1.05726,0.97668,0.00109918,0.00109918,0.00109918
13,52.2579,1.0245,0.83587,0.98662,0.89797,0.95138,0.97373,0.64669,1.09614,1.07222,1.01856,0.00109811,0.00109811,0.00109811
14,56.0634,1.03792,0.86374,0.94711,0.89874,0.96233,0.97846,0.67841,0.9678,1.04295,0.97485,0.00109704,0.00109704,0.00109704
15,59.8812,1.04759,0.81771,0.97028,0.89798,0.97288,0.96716,0.68301,0.95158,0.77955,0.96977,0.00109596,0.00109596,0.00109596
16,63.6954,0.91212,1.29178,0.85876,0.86343,0.92139,0.923,0.61263,1.02589,0.62324,0.98778,0.00109489,0.00109489,0.00109489
17,67.4748,1.00396,0.80804,0.93616,0.954,0.9571,0.96546,0.69827,0.93989,0.69292,0.95646,0.00109381,0.00109381,0.00109381
18,71.5096,0.96754,0.74831,0.94315,0.92721,0.95812,0.95645,0.67702,0.91225,0.57609,0.94999,0.00109274,0.00109274,0.00109274
19,75.245,0.97809,0.75615,0.94607,0.941,0.96042,0.96678,0.68557,0.94981,0.64058,0.95463,0.00109167,0.00109167,0.00109167
20,79.0186,1.00199,0.73017,0.95779,0.96067,0.98146,0.97786,0.69477,0.92737,0.54476,0.94681,0.00109059,0.00109059,0.00109059
21,82.7318,0.98389,0.78599,0.94703,0.93791,0.96313,0.95979,0.68024,0.92661,0.53769,0.94677,0.00108952,0.00108952,0.00108952
22,86.4801,0.95773,0.73382,0.91119,0.92068,0.98813,0.97127,0.67603,0.91725,0.54957,0.94795,0.00108844,0.00108844,0.00108844
23,90.2679,0.98303,0.74322,0.94422,0.96805,0.96026,0.98395,0.70257,0.90655,0.52267,0.9412,0.00108737,0.00108737,0.00108737
24,94.2283,1.01076,0.73564,0.96804,0.95349,0.95626,0.98253,0.70441,0.92512,0.55628,0.94764,0.0010863,0.0010863,0.0010863
25,98.0715,0.98241,0.72119,0.95437,0.94931,0.98329,0.98687,0.7158,0.93995,0.54022,0.95087,0.00108522,0.00108522,0.00108522
26,101.89,0.94403,0.66212,0.93844,0.93886,0.97822,0.97762,0.71879,0.90255,0.5305,0.937,0.00108415,0.00108415,0.00108415
27,105.692,0.95884,0.71007,0.93619,0.94554,0.97031,0.97787,0.71518,0.90154,0.49422,0.94054,0.00108307,0.00108307,0.00108307
