epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36879,1.35743,4.45692,1.14373,1e-05,0.00128,1e-05,0,1.11063,4.158,0.9067,0.00012221,0.00012221,0.00012221
2,10.451,1.17397,3.17504,0.99804,5e-05,0.00383,2e-05,1e-05,1.03684,4.1133,0.8917,0.000255283,0.000255283,0.000255283
3,14.1991,1.17384,2.12279,0.97987,0.00134,0.03808,0.00084,0.00038,1.03484,4.01966,0.90321,0.000388098,0.000388098,0.000388098
4,18.4118,1.14111,1.52148,0.99306,0.00585,0.14889,0.0045,0.00183,0.97393,3.99022,0.90181,0.000520656,0.000520656,0.000520656
5,22.2237,1.05899,1.22061,0.95023,0.00949,0.26056,0.17586,0.12297,0.95726,3.74024,0.89845,0.000652955,0.000652955,0.000652955
6,25.91,1.04444,1.06568,0.9589,0.01362,0.8639,0.58347,0.40469,0.93398,3.33383,0.9037,0.000784997,0.000784997,0.000784997
7,29.7775,1.02818,1.11516,0.96077,0.01611,0.97626,0.90377,0.62646,0.98312,2.78473,0.94642,0.000916781,0.000916781,0.000916781
8,33.6051,1.04381,1.07552,0.98395,0.90438,0.29618,0.95316,0.66284,0.96201,2.28986,0.9549,0.00104831,0.00104831,0.00104831
9,37.6042,0.98027,1.00625,0.9415,0.86864,0.86279,0.91805,0.6377,0.97926,1.76228,0.97887,0.00110241,0.00110241,0.00110241
10,41.3914,1.00191,1.07994,0.94487,0.94833,0.88971,0.96476,0.67328,0.97771,1.55444,0.98425,0.00110133,0.00110133,0.00110133
11,45.3251,1.01045,0.9354,0.94496,0.93191,0.95194,0.98075,0.69683,0.97375,1.08011,0.97815,0.00110026,0.00110026,0.00110026
12,49.5172,1.00917,0.91712,0.94199,0.9562,0.82917,0.98048,0.6892,0.9352,0.93688,0.96271,0.00109918,0.00109918,0.00109918
13,53.368,0.97983,0.85727,0.97298,0.91231,0.96724,0.98499,0.71649,0.94738,0.70583,0.96394,0.00109811,0.00109811,0.00109811
14,57.3081,0.99525,0.92641,0.93377,0.93802,0.9723,0.98598,0.71619,0.93831,0.66319,0.97355,0.00109704,0.00109704,0.00109704
15,61.2118,1.01506,0.81435,0.96045,0.95521,0.9808,0.98805,0.72869,0.91702,0.64888,0.9589,0.00109596,0.00109596,0.00109596
16,64.9958,0.8951,1.30748,0.85375,0.9569,0.96775,0.97997,0.6737,0.95088,0.62545,0.96891,0.00109489,0.00109489,0.00109489
17,68.6819,1.00351,0.82499,0.93445,0.94591,0.96487,0.98579,0.72151,0.92765,0.63325,0.9602,0.00109381,0.00109381,0.00109381
18,72.4889,0.98038,0.77626,0.94395,0.96944,0.96911,0.98598,0.72017,0.91407,0.53736,0.96508,0.00109274,0.00109274,0.00109274
19,76.3425,0.96306,0.73407,0.93893,0.95534,0.97197,0.98427,0.72505,0.91699,0.62187,0.96458,0.00109167,0.00109167,0.00109167
20,80.3082,0.98544,0.76372,0.95673,0.957,0.96997,0.98369,0.71589,0.9203,0.53971,0.95937,0.00109059,0.00109059,0.00109059
21,83.9675,0.95758,0.78486,0.94099,0.96182,0.98064,0.9845,0.733,0.89963,0.54892,0.95092,0.00108952,0.00108952,0.00108952
22,87.7306,0.94363,0.7561,0.90326,0.96262,0.9739,0.98832,0.69817,0.92659,0.54091,0.96822,0.00108844,0.00108844,0.00108844
23,91.4457,0.97012,0.75198,0.94964,0.96243,0.9628,0.98715,0.71829,0.91358,0.54407,0.95921,0.00108737,0.00108737,0.00108737
24,95.249,0.99762,0.72675,0.95822,0.90662,0.95778,0.98488,0.69424,0.96482,0.66069,0.97484,0.0010863,0.0010863,0.0010863
25,98.8999,0.95736,0.72249,0.94844,0.93533,0.99414,0.98763,0.72435,0.9098,0.52194,0.9521,0.00108522,0.00108522,0.00108522
26,102.824,0.93528,0.67547,0.93589,0.96133,0.97616,0.98615,0.71273,0.90465,0.5528,0.95753,0.00108415,0.00108415,0.00108415
27,106.867,0.96546,0.73794,0.94733,0.96007,0.99161,0.98599,0.73566,0.89439,0.5287,0.94974,0.00108307,0.00108307,0.00108307
28,110.852,0.94797,0.68889,0.96029,0.95798,0.99184,0.98716,0.7204,0.90836,0.52153,0.95719,0.001082,0.001082,0.001082
29,114.541,0.90862,0.72228,0.94429,0.97161,0.97713,0.99181,0.75251,0.8881,0.50962,0.94879,0.00108092,0.00108092,0.00108092
30,118.535,0.90661,0.65567,0.93539,0.97701,0.98154,0.99234,0.74801,0.89821,0.49813,0.95126,0.00107985,0.00107985,0.00107985
31,122.342,0.97493,0.63921,0.92651,0.95589,0.99646,0.98979,0.74353,0.90595,0.49367,0.9504,0.00107878,0.00107878,0.00107878
